Subject,Topic,SubquestionAType,SubQuestionAText,SubquestionAAnswer,SubquestionAImage,SubquestionBType,SubQuestionBText,SubquestionBAnswer,SubquestionBImage,SubquestionCType,SubQuestionCText,SubquestionCAnswer,SubquestionCImage,SubquestionDType,SubQuestionDText,SubquestionDAnswer,SubquestionDImage
Blocks & Skills,AnkleBlock,,You are anaesthetising a patient for a toe osteotomy and plan on doing an ankle block. What 5 nerves are blocked in an ankle block? How would you position the patient in order to perform an ankle block? All 5 nerves that supply the foot are branches of which nerve?,"Tibial, superficial peroneal, deep peroneal, sural and saphenous. The patient should be supine with  the leg supported off the bed or in lateral decubitus. The 5 nerves blocked by the ankle block are branches of the sciatic nerve. They ankle block can be performed using landmark technique or ultrasound guidance.",,,How would you perform a tibial nerve block? What part of the foot is supplied by the sural nerve? ,"I would use ultrasound to identify the tibial nerve which lies just posterior to the posterior tibial artery and vein. I would clean and drape the area, use a trained assistant and inject 5 mL of local anaesthetic using an in plane technique approach from posterior to anterior in order to avoid the vasculature. The sural nerve supplies the posterolateral part of the foot. The tibial nerve takes the longest of the blocks to develop of all the 5 ankle nerves.",,,,,,,,,
Blocks & Skills,InterscaleneBlock,,What are the indications for an interscalene block? What nerves will be blocked by the interscalene block? What makes up the brachial plexus? What volume of anaesthetic is used for an interscalene block?,The indications for the interscalene block are: shoulder and upper arm surgery and may be used in combination with a cervical plexus block for clavicle surgery. The interscalene block targets the trunks of the brachial plexus which includes the nerve roots from C5 to C8 but does not include the ulnar nerve. The local anaesthetic volume would be 7.5 to 15mL.,,,What structures can be damaged during interscalene block? What are the side effects of the interscalene block?,"The structures near to the brachial plexus that can be damaged include nerve damage to the brachial plexus, sympathetic chain, jugular vein, carotid artery and the interscalene muscles. Side-effects of the interscalene block are: local anaesthetic toxicity, haematoma, infection, total spinal anaesthesia, Horner syndrome and diaphragmatic paralysis. ",,,"Which nerve is frequently missed in an interscalene block? What nerve roots supply the dermatomes of the arm shown in the picture and labelled A, B and C?","The ulnar nerve(C8-T1) is commonly missed during interscalene block, but is commonly blocked using a supraclavicular block of the brachial plexus. The nerve roots that supply the areas labelled are A - C5, B - T1, C - C7.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/b72c841d96b84cc4a918f7f76bd0dec9,,,,
Communication,Awareness,,You have been asked to speak to a 55 year old lady who is awaiting surgery for a diagnostic laparoscopy. She is concerned that she will be aware of what is happening during the operation because her daughter had an episode of awareness during an emergency caesarean section last year. How would you begin the conversation? What more information would you want to obtain from the patient?,"Begin the conversation by introducing yourself, confirming the identity of the patient and the reason for the discussion. Establish what the concerns of the patient are and then proceed to address each concern. Acknowledge that the risk of awareness is increased in emergency obstetric anaesthesia due to many factors,  but the risk of awareness during elective surgery is much lower. I would ask the patient about her specific concerns, previous awareness, the details of her daughters emergency caesarean section, chronic medication or alcohol use risk factors of awareness like obesity.  ",,, What factors increase the risk of awareness? What is the risk of awareness under anaesthesia for this case? How would you adjust your anaesthetic practice to minimise the risk of awareness?,"Patient factors: obesity, female, chronic drug or alcohol use. Surgical factors: emergency, trauma, cardiac surgery, obstetric. Anaesthetic: neuromuscular blockers, TIVA, lack of EEG, low MAC. The risk of awareness for this case is around 1:9000 because a neuromuscular blocker is likely to be used. If no NMB is used then the risk is 1:19000.",,,This patient alerts you to the fact that she suffers from motion sickness. What factors are associated with increased risk of post-operative nausea and vomiting? How would you reduce the risk of post-operative nausea and vomiting?,"Factors are: female sex, travel sickness, previous PONV, long operation, children, nitrous oxide, volatile agents and opioid use. The risk of PONV can be reduced using TIVA, minimising opioid use, giving dexamethasone, giving other anti-emetics,  avoiding the precipitating factors and by using regional anaesthesia. ",,,,,
Communication,Post-op Pain,,You have been asked to speak to a patient's son about his post-operative pain. He had an emergency laparotomy yesterday and his post-operative pain was managed using an epidural and you were called to see him 2 hours after going to the ward in order to give a top-up due to a missed segment. The pain had disappeared 20 minutes later. How would you explain this post-operative pain to his son? How would explain this temporary failure of the epidural to the son?,"A well working epidural would provide good regional anaesthesia for a laparotomy post-operatively and has been associated with reduced post-operative mortality and opioid use. They have their own risks hypotension, : abscess, haematoma, nerve damage and failure. It is important to explain to the son that this was a major emergency operation and pain is to be expected post-operatively. There is no perfect way to manage this pain but the epidural has been working well since your intervention. I would apologise for the painful period before it began working, but it is unlikely that anything could have been done to prevent this. ",,,What was the reason for inserting an epidural? What are the side effects of epidural anaesthesia? What are the alternatives to epidurals?,"The epidural has multiple benefits for major abdominal surgery: reduced post-operative pain, reduced opioid usage, reduced mortality, reduced risk of post-operative pneumonia, earlier mobilisation, reduced rate of VTE. The side effects are: hypotension, headache, failure, haematoma, abscess and nerve damage. ",,,How would you end the conversation? What would you do after this conversation?,I would thank the relative for their time and ask them if they had any further questions or concerns that they wanted to raise with me. I would write a summary of this discussion in the notes. ,,,,,
Communication,Chest Pain,,You have been asked to speak to a 55 year old man who is due to have a laparoscopic repair of an inguinal hernia. During his pre-operative assessment he complained of chest pain and has had an ECG which is shown in the photo. How would you begin the conversation? What more information would you want from the patient?,"I would introduce myself and then confirm the identity of the patient and the reason for having this discussion. The patient has complained of chest pain so I would ask more questions about that: site, onset, characteristic, radiation, timing etc. I would ask about other symptoms associated with cardiac disease like shortness of breath, ",,,What does the ECG show? What might the diagnosis be? What further investigations would you require? ,,,,"Would the patient be able to have the operation tomorrow? If you were going to postpone this case for further investigation, how would you communicate this to the patient?",,,,,,
History,CVS Disease,,A 69 year old patient has presented to your pre-assessment clinic prior to being listed for an elective inguinal hernia repair. He has last anaesthetic was 14 years ago and he has hypertension and angina. What are important parts of the anaesthetic history to obtain? What would you ask him about his medical history?,"Anaesthetic history: age, present illness, drug history, allergies, past history or operations and anaesthetic, family history, smoking and alcohol. It is important to ask about concerns and expectations regarding this operation because they will inform your anaesthetic plan. Medical history: cardiorespiratory symptoms of angina, exercise tolerance, orthopnoea, chest pain, shortness of breath, cough, smoking history, previous investigation and intervention. ",,,How is the severity of angina classified? What are the components of Lee's revised severity score?,"Angina severity can be described as stable or unstable. The Canadian Cardiovascular severity score has 4 classes and is similar in nature to the New York Heart Failure score: Class I - Angina on strenuous exercise, Class II - Angina causing a mild limitation in activity, Class III - Angina causing a marked restriction of activity. Class IV - Angina at rest.",,,,,,,,,
History,MalignantHyperthermia,,"A 51 year old female patient has been booked for a partial mastectomy. She has been referred to the pre-assessment clinic because she has been undergoing chemotherapy and her sister has malignant hyperthermia. What would you like to ask about her past medical history, current illness and drug history?","Past Medical History: any other illnesses except breast cancer, side effects from treatment which are cardiomyopathy, diabetes and myelosuppression. Current illness: pain levels, anxiety related to surgery, shortness of breath, side effects of treatment, functional status, amenability to day surgery. Drug history: regular meds, chemotherapy, radiotherapy, side effects, allergies. ",,,What would you ask about the family history of malignant hyperthermia? How would you adjust your anaesthetic practice to minimise the risk of malignant hyperthermia?,"Malignant Hyperthermia: When was the episode of MH? Is it a close relative? Any follow up testing? Results of genetic tests? Any concerns about undergoing subsequent anaesthesia? The risk can be minimised by avoiding triggers of MH (Suxamethonium, volatile agents) by using regional anaesthesia and TIVA where necessary. ",,,How would you reassure the patient who is concerned about serious adverse events under anaesthesia?,"Ask about specific and general concerns, sympathise with the patient while reassuring them that anaesthesia is generally safe as long as appropriate caution is taken. ",,,,,
Equipment,Endotrachealtubes,,"Please describe the objects labelled A, B and C and highlight their differences. ","A is a standard single-use cuffed size 7.0 endotracheal tube. B is a reinforced size 6.0 cuffed endotracheal tube. C is a laser endotracheal tube of unknown size. A is made of PVC while B has a PVC inner tube with a spiral wound wire in order to prevent kinking or obstruction. C is a laser endotracheal tube which has a number of adaptations to improve safety during laser surgery of the airway: there is a scattering non reflective outer coating, two cuffs containing methylene blue in the pilot balloon.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/85239f0be093445fa395a51116931a08,,What are the risks of lasers? How do you reduce the risk of damage to staff? How would you manage an airway fire?,"The risks of lasers are: airway fire, soft tissue damage to the patient, damage to staff. Minimising risk to staff involves having an appointed laser safety manager, signs on the doors of theatre, mandatory safety goggles, staff training and good communication. A airway fire should be treated by immediately stopping surgery,  flooding the site with saline, disconnecting the ventilator and extubating the patient to continue ventilation. Once the fire is out and the patient is stable a discussion should be made between the surgeon and anaesthetist about continuing. ",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/85239f0be093445fa395a51116931a08,,,,,,,,
Equipment,Nerve stimulator,,"Please name the nerve stimulation patterns labelled A, B, C and D.   What is the current and frequency used for the Train-of-Four nerve stimulation pattern?  What is the current and frequency used for the Double Burst nerve stimulation pattern? ","A - Train of Four, B - Tetany, C - Double Burst, D - Post-tetanic count / facilitation. The train-of-four involves a  supramaximal current of at least 70mA applied 4 times at a rate of 4 Hz, producing 4 bursts which are 0.5s apart in order to assess the degree of fade from neuromuscular blockade. The Double Burst is a technique to help comparison of first and last twitch by delivering two bursts of supramaximal current at 50Hz separated by 750ms.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/57915158d0ef4d1aace9118a66ba3943,,Give an example of a drug which could be Drug X and Drug Y? When is the post-tetanic count used? What is post-tetanic facilitation?,"Drug X is Suxamethonium and Drug Y could be atracurium or Rocuronium. Post-tetanic count is used to assess deep levels of neuromuscular blockade where train of four might not be present. Post-tetanic facilitation is where after a burst of tetany, the subsequent twitch is higher than it would have been without tetany. PTF is probably due to calckum building in the presynaptic nerve terminal. ",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/57915158d0ef4d1aace9118a66ba3943,,Where can you place the electrodes for peripheral nerve stimulation to test neuromuscular blockade? Which electrode should be placed more proximally?,The common nerves to test neuromuscular blockade are: facial and ulnar nerves. The red positive electrode should be placed more proximally on the nerve. ,https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/57915158d0ef4d1aace9118a66ba3943,,,,
Equipment,Capnography,,Please describe the monitoring traces labelled A - E and suggest a possible cause of the pattern shown. ,"A - normal etCO2 trace, spontaneous or controlled breathing. B - Diminishing etCO2 trace which may be due to oesophageal intubation or cessation of respiration due to opioids or paralysis. C - Sudden cessation of CO2 trace is due to disconnection. D - Sudden increase in CO2 may be due to improvement in ventilation or return of spontaneous circulation. E - Shark fin shaped etCO2 trace is due to airway obstruction eg. COPD.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/32e781fca86d40e1ac39b146a9fbefc5,,Please name the labelled parts of the etCO2 image from F to J,F - Inspiratory plateau or baseline. G - Expiratory upstroke. H - Alveolar plateau. J - Inspiratory downstroke. ,https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/32e781fca86d40e1ac39b146a9fbefc5,,What can cause a raised baseline etCO2?,Increased inspired CO2 due to rebreathing. This may occur due to inadequate CO2 absorption or increased production during malignant hyperthermia.,https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/32e781fca86d40e1ac39b146a9fbefc5,,,,
Equipment,Laryngoscopes,,"Please name the objects labelled A, B and C. What is the difference between the objects A and B? When might you choose to use object A? ","A - McCoy laryngoscope size 4. B - Macintosh size 4 laryngoscope. C - Airtraq Video laryngoscope. The McCoy laryngoscope can be used to lif tthe epiglottis to improve the view in a patient with a large or floppy epiglottis. The advent of videolaryngoscopes has relegated it to the history books somewhat.  If you were feeling pedantic you might add that these are all right handed laryngoscopes. Although it is to be held in the left hand, the conventional laryngoscopes are called Right handed blades (left handed laryngoscopes do exist).",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/7e0cb7d7e6aa4a6ba5f573b3d91e689c,,When might you choose to use object C? What are the disadvantages of object C?,"The Airtraq is a videolaryngoscope which might be used when there is a predicted difficult intubation, a failed intubation or a patient with limited neck movement. It can be used with the viewfinder or with a display screen. The endotracheal tube is mounted on the side prior to insertion and detached for intubation. ",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/7e0cb7d7e6aa4a6ba5f573b3d91e689c,,What is the normal physiological response to laryngoscopy? How can the physiological response to laryngoscopy be prevented?,"Laryngoscopy is very stimulating. The response is tachycardia, hypertension and increased sympathetic tone. This response can be attenuated by increased depth of anaesthesia, lidocaine, opioids and beta blockers. ",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/7e0cb7d7e6aa4a6ba5f573b3d91e689c,,,,
