subject,topic,Title,question,image,option1,option2,option3,option4,option5,explain,correct,selected,answered,answeredCorrectly
Physiology & Anatomy,Physiology,Emergencies 4,"A 15 year old has been booked for an adenotonsillectomy on a routine ENT list. During a gas induction using sevoflurane a high pitched squeak is heard and the end tidal CO2 trace is lost. You suspect that the patient has developed laryngospasm. You have switched to 100% oxygen and are applying 5 cmH2O of PEEP using a facemask, and then given a bolus of Propofol IV 2 mg/kg. There is no improvement in ventilation and the oxygen saturations have fallen to 85%.   What is the most appropriate next step in treatment?",,Increase Fresh Gas Flow to 12 L/min,Paralyse using Suxamethonium 1 mg/kg IV,Insert a laryngeal mask airway,Increase Sevoflurane vaporiser dial to 6,Insert a geudel airway,"Laryngospasm is prolonged closure of the glottis in response to laryngeal or visceral stimulation in an under anaesthetised patient. The factors associated with laryngospasm are: airway manipulation, irritant on the larynx, paediatric patient, recent respiratory infection and ENT surgery. The treatment is to apply 100% O2 with 5 cmH20 of PEEP via facemask. If this fails then the depth of anaesthesia should be increased with an IV bolus of propofol and then a dose of Suxamethonium IV or IM should be considered. Laryngospasm is an anaesthetic emergency which can rapidly lead to hypoxia, bradycardia and cardiac arrest.",Paralyse using Suxamethonium 1 mg/kg IV,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Emergencies 5,Which of the following drugs is paired with the correct antidote?,https://i.imgur.com/j91milY.jpg,Flumazenil and Diamorphine,Ethylene glycol and methanol,Mivacurium and sugammadex,Organophosphates and Naloxone,Dabigatran and Praxbind,There are many common antidotes to poisons/overdoses common in practice. Dabigatran is reversed by Praxbind. Aminosteroids like Rocuronium are bound to sugammadex. Ethylene glycol poisoning is treated with ethanol. Benzodiazepines are antagonised by flumazenil and opioids are antagonised by naloxone. Methaemoglobinaemia is treated with methylene blue.,Dabigatran and Praxbind,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Emergencies 6,"A 19 year old male has been admitted to the intensive care unit after ingesting a recreational substance. He is blue in colour, has an oxygen saturations reading of 85% and a blood gas shows a MetHb reading of 30%. He is breathing 100% via a reservoir mask but his oxygen saturations remain 85%. What is the most appropriate treatment?",https://i.imgur.com/j91milY.jpg,Ethanol PO,"Intubation,  ventilation and admission to ICU",Methylene blue 1mg/kg  IV,CPAP via facemask,Oxygenate using a Mapleson C circuit to increase the FiO2,"Methaemoglobinaemia is a condition where haemoglobin exists in the oxidised state and causes pulse oximetry to read close to 85% even if the true saturations are higher or lower. Patients appear cyanosed and have symptoms of hypoxaemia. An arterial blood gas measurement should be taken and the treatment is to give Methylene blue IV. It can be caused by several medications including nitrates, metoclopramide and prilocaine.",Methylene blue 1mg/kg  IV,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Emergencies 7,A 72 year old female patient has died on the table during an emergency laparotomy for small bowel ischaemia. CPR has been completed and you have informed the relatives. What is the next most appropriate step?,,Ensure you have documented the event in the patient notes.,Conduct a thorough 'hot debrief' including all staff in theatres. ,Inform your educational supervisor,Contact the coroner's office,Ensure you preserve all anaesthetic drugs and equipment,It is important to keep contemporaneous notes in order to ensure that the events can be reviewed when necessary. Subsequent entries can be made as long as they are signed and dated but are not as good as notes made at the time. All other actions could be considered after the notes have been written. ,Ensure you have documented the event in the patient notes.,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Emergencies 8,"A 46 year old female has gone into fast atrial fibrillation during an incision and drainage of an abscess under general anaesthesia. The blood pressure has dropped to 65/35, which is confirmed on repetition. There is no improvement after rapid administration of Sodium Chloride 0.9% IV. What is the most appropriate management?",,Noradrenaline infusion,Metaraminol bolus,Further crystalloid bolus,DC cardioversion,Magnesium 4g IV,"Advanced Life Support recommendations for tachycardia are to consider DC cardioversion if there are signs of compromise e.g. Hypotension, chest pain, reduced consciousness, heart failure",DC cardioversion,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Emergencies 9,A 75 year old patient is being anaesthetised for an elective mastectomy. After intubating the patient you notice that a tooth has been knocked out and lies on the tongue. The rest of the teeth appear healthy and the socket is easily visible. What is the next best course of action?,,Replace the tooth in the socket,Place the tooth in milk and continue the case. Make an outpatient referral to the dentist.,Put the tooth in water and bleep the Max-Fax SHO urgently,Put the tooth in milk and bleep the Max-Fax SHO urgently,Wake the patient up and explain the situation,A dental avulsion with the tooth out of the socket must be acted upon. The tooth should be replaced if the socket is easily visible and you are happy replacing it. If not replaced then it should be placed in milk or saline and the Max-Fax team urgently contacted. If the tooth is chipped then an urgent examination should be done to find the chips and keep them for the patient. The case does not need to be postponed once the dental damage has been managed.,Replace the tooth in the socket,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Endo 1,Which of the following sets of blood results is most  likely to be associated with Addison's Disease?,,"Glucose 3.3, Na 133, K 4.8, Hb 128, WCC 7","Glucose 17, Na 128, K 5.5, Hb 115, WCC 12","Glucose 3.3, Na 128, K 5.5, Hb 128, WCC 7","Glucose 10, Na 134, K 4.9, Hb 112, WCC 9","Glucose 3.3, Na 142, K 3.5, Hb 128, WCC 7",Addisons Disease causes a reduction in aldosterone and cortisol which leads to reduced sodium reabsorption and increased potassium secretion. The Hb and WCC are likely to be normal unless there was a preceding illness which cause the Addisons disease.,"Glucose 3.3, Na 128, K 5.5, Hb 128, WCC 7",TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Endo 2,Which of the following best describes the relationship between the hypothalamus and the pituitary gland?,https://i.imgur.com/36OCrTm.jpg,The hormones secreted in the anterior pituitary were produced in the hypothalamus,The hypothalamus is connected to the anterior pituitary by the portal system,The hypothalamus is connected to the posterior pituitary by a vascular bed ,The anterior pituitary exists in  a positive feedback loop with the hypothalamus,The hypothalamus and pituitary gland can be suppressed with a single dose of methohexitone,The hypothalamus is connected to the anterior pituitary by the portal venous system. This connects the capillaries of the two glands. The hormones secreted by the hypothalamus cause the secretion of hormones by the anterior pituitary gland in a negative feedback loop. The posterior pituitary gland has a different relationship. The posterior pituitary gland is connected to the hypothalamus by neurones and the hormones secreted there are produced in the hypothalamus. ,The hypothalamus is connected to the anterior pituitary by the portal system,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Endo 3,Which hormone is secreted by the posterior pituitary gland?,,Growth Hormone,Leutinising Hormone,Prolactin,Follicle Stimulating Hormone,Antidiuretic Hormone,Anti-diuretic Hormone is also know as vasopressin and is secreted by the posterior pituitary gland along with Oxytocin. ,Antidiuretic Hormone,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Endo 4,"A 55 year old patient is seen in the pre-operative clinic for an elective knee replacement. He complains of polyuria and constant thirst. Blood tests have shown a sodium level of 147, a random glucose of 6.5 and an HbA1c of 5.5%.",,Type 1 Diabetes Mellitus,Cerebral Salt Wasting,Type 2 Diabetes Mellitus,Syndrome of Inappropriate secretion of Anti-diuretic Hormone,Neurogenic Diabetes Insipidus,"This patient has polyuria, polydipsia and a raised sodium concentration. This suggests a diagnosis of Diabetes Insipidus which is when there is a relative or absolute lack of Anti-diuretic hormone(ADH). ADH causes the insertion of Aquaporins into the collecting duct causing the reabsorption of water. With reduced ADH action there is reduced reabsorption of water causing polyuria, increased plasma concentration and reabsorption of sodium as a result. Cerebral salt wasting would cause hyponatraemia. Diabetes mellitus may cause polyuria and polydipsia but the random glucose and HbA1c is normal in this case. Diabetes Insipidus is most likely to be idiopathic but may be caused by neurosurgery or cancer.",Neurogenic Diabetes Insipidus,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Endo 5,A 63 year old female with bipolar disorder has been admitted with increased urine output and polydipsia. Blood tests revealed hypernatraemia of 146 and hypercalcaemia of 2.7. The HbA1c was 5.5%.  What is the most likely cause of these symptoms?,,Cranial nephrogenic diabetes insipidus,Type 2 Diabetes Mellitus,Syndrome of Inappropriate secretion of Anti-diuretic Hormone,Type 1 Diabetes Mellitus,Nephrogenic Diabetes Insipidus due to Lithium therapy,20 - 30% of bipolar patients treated with Lithium develop an inability to concentrate urine due to dysfunction of the AQ2 channel.,Nephrogenic Diabetes Insipidus due to Lithium therapy,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Endo 6,"A 58 year old patient with epilepsy is being treated with Carbamazepine. He has presented to hospital with polyuria, polydipsia  and confusion.  Blood tests show hyponatraemia of 127, urine sodium of 45 and increased urine osmolality of 124 mosmol/kg.  What is the most likely diagnosis?",,Type 1 Diabetes Mellitus,Syndrome of Inappropriate Anti-diuretic hormone release,Type 2 Diabetes Mellitus,Cerebral Salt Wasting,Nephrogenic Diabetes Insipidus due to Carbamazepine therapy,"This patient is most likely to have syndrome of inappropriate secretion of anti-diuretic hormone secondary to carbamazepine, which is a well known side effect. This patient has polyuria, polydipsia and a low serum sodium concentration. ADH causes the insertion of Aquaporins into the collecting duct causing the reabsorption of water. With reduced ADH action there is reduced reabsorption of water causing polyuria, increased plasma concentration and reabsorption of sodium as a result. Cerebral salt wasting would cause hyponatraemia but is more likely in patients with recent neurosurgery or subarachnoid haemorrhage. Diabetes mellitus may cause polyuria and polydipsia but the random glucose and HbA1c is normal in this case.",Syndrome of Inappropriate Anti-diuretic hormone release,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Endo 7,What is the difference between Syndrome of Inappropriate Anti-diuretic hormone release (SIADH) and  Cerebral Salt Wasting (CSW)?,,The urine osmolality is high in CSW whereas it is low in SIADH,Urea will be raised in CSW whereas it will be normal in SIADH,The patient with CSW will be  hypovolaemic whereas the patient with SIADH will have normal or raised extracellular volume,SIADH causes hyponatraemia whereas CSW causes hypernatraemia,CSW and SIADH are different names for the same condition,The difference between CSW and SIADH is that a patient with CSW will possibly be hypovolaemic whereas the patient with SIADH will have normal or raised extracellular volume. Pathophysiologically CSW is due to recent neurosurgery or subarachnoid haemorrhage whereas SIADH can be triggered by multiple different conditions. Discerning the two can be difficult. Giving a bolus of isotonic saline will worsen SIADH because the sodium is excreted and water retained.,The patient with CSW will be  hypovolaemic whereas the patient with SIADH will have normal or raised extracellular volume,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Endo 8,Which of the following is most correct regarding Adreno-corticotrophic  Hormone (ACTH)?,,Cushing's syndrome is always due to a pituitary tumour,ACTH is secreted in response to falling levels of cortisol directly,ACTH is secreted from the posterior pituitary gland,ACTH is a 39 polypeptide  hormone,ACTH is the most commonly secreted hormone by pituitary macroadenoma,ACTH is a 39 polypeptide hormone secreted by the anterior pituitary gland in response to Corticotrophin Releasing Hormone (ARH) from the hypothalamus. Cushing's syndrome is chronically raised Cortisol levels and Cushing's Disease is chronically raised cortisol levels due to a pituitary tumour specifically. Prolactin is the most commonly secreted hormone by pituitary tumours.,ACTH is a 39 polypeptide  hormone,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Endo 9,Which of the following factors inhibits the release of vasopressin from the posterior pituitary gland?,,Increased plasma osmolality,Nausea and vomiting,Exercise,Pain and stress,Increased plasma volume,"Vasopressin, also known as Anti-diuretic Hormone(ADH), acts on multiple vasopressin receptors. V1 receptors cause vasoconstriction. V2 receptors mobilise aquaporin channels in the collecting duct to cause the reabsorption of water and expand plasma volume. V3 receptors are in the pituitary gland and may lead to ACTH release.",Increased plasma volume,TRUE,FALSE,FALSE
Physics & Equipment,Physics,Flow 1,Which of the following is most correct regarding laminar flow?,https://i.imgur.com/BAiSYHF.jpg,Turbulent flow is more likely in a size 5.0 ETT compared to a 6.0 ETT,Highly viscous fluids are more likely to exhibit turbulent flow,A Reynolds number of > 5000 indicates laminar flow is highly likely,"As the diameter of an ETT tube increases, the likelihood of turbulent flow increases if the flow velocity remains the same",Heliox is used in upper airway obstruction because helium has a lower viscosity than Oxygen,"A fluid travelling through a wide vessel is likely to exhibit turbulent flow. As the radius reduces, the fluid is more likely to exhibit laminar flow. Reynolds number gives us an idea of whether fluid passing through a vessel is likely to exhibit turbulent or laminar flow. When Reynolds number is high (above 3000) then flow is more likely to be turbulent. When the Reynolds number is low (<2000) the flow is likely to be laminar. This has an implication for the flow rate and is relevant to the anaesthetist when considering ventilation in patients with potentially narrowed airways.","As the diameter of an ETT tube increases, the likelihood of turbulent flow increases if the flow velocity remains the same",TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Haemoglobin 1,In normal physiology of the average person at sea level with room temperature,https://i.imgur.com/L9063rt.jpg,Oxygen saturation of haemoglobin in the pulmonary vein is 75%,The affinity for the fourth oxygen molecule is higher than the affinity for the first,The pulmonary artery oxygen concentration is 97%,CO2 dilution has minimal effect on oxygen concentration,The oxygen concentration in the mitochondria is similar to that in the pulmonary capillary,Haemoglobin affinity for oxygen is increased with each oxygen that binds due conformation change. Oxygen concentration in the alveolus is 13.8kPa due to humidification and mixture with dead space gasses. The arterial oxygen concentration is slightly lower but the mitochondrial oxygen concentration is much lower. The pulmonary artery oxygen concentration is around 75% and the pulmonary vein concentration is around 97%.,The affinity for the fourth oxygen molecule is higher than the affinity for the first,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Haemoglobin 2,Which of the following describes the Haldane effect?,,Haemoglobin has a reduced affinity for oxygen in acidic environments,Deoxygenated haemoglobin has a higher affinity for carbon dioxide,Foetal haemoglobin has a higher affinity for oxygen than adult haemoglobin,Increased affinity with each successive oxygen bound to Haemoglobin,Oxygenated haemoglobin is paramagnetic,The Haldane effect is the increase in affinity of de-oxyhaemoglobin for carbon dioxide compared to oxygenated haemoglobin. It is similar to the Bohr effect which is the decreased affinity for Haemoglobin for oxygen in an acidotic of hypercapnoeic environment. The double bohr effect exists in the placenta and where the physiological conditions ,Deoxygenated haemoglobin has a higher affinity for carbon dioxide,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,HTN 1,A 70 year old man with hypertension requires an emergency laparotomy. You have identified risk factors for developing an Acute Kidney Injury and would like to prevent this. Which of the following would be most appropriate in the plan to prevent Acute Kidney Injury?,,Aim for mild hypervolaemia and maintain a urine output > 1.5 mL/kg/hr,Aim for a Mean Arterial Pressure (MAP) of >60,Start an ACE inhibitor,"Weekly measurement of Urea, Creatinine and Electrolytes",Aim for euvolaemia and aim to maintain urine output > 0.5 mL/kg/hr,"There are multiple measures that can be taken to prevent AKI  which include daily blood tests, euvolaemia, adequate blood pressure and urine output, stopping nephrotoxic agents and checking for potential post-renal obstruction. ACE inhibitors, NSAIDs and Gentamicin should be used with caution. A blood pressure target should be made based on the patients normal blood pressure but a MAP target of >65 is a reasonable starting value.",Aim for euvolaemia and aim to maintain urine output > 0.5 mL/kg/hr,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Hypothermia 1,A 22 year old female has been brought to A&E after being found in the sea in winter. She has a temperature of 32 degrees celcius. What ECG change is seen in hypothermia?,https://i.imgur.com/dIfw66U.jpg,Osborne / J waves,Short PR,Delta wave,T wave depression,U wave,"Osborne J waves are upward inflections seen in hypothermia just after, or attached to, the QRS complex. Delta waves are an slurred QRS upstroke in WPW syndrome. U waves are normal physiological waves. ",Osborne / J waves,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,IV Fluids 1,Which of the following best describes the composition of Hartmann's Solution 1L in millimols?,https://i.imgur.com/cew6X6l.png,"Sodium 155, Chloride 155","Sodium 140, Potassium 5, Mg 1.5, Cl 98, Acetate 27, Gluconate 23","Sodium 125, potassium 5, chloride 125, Lactate 45","Sodium 131, Potassium 5, Ca 2, Cl 111, Lactate 29","Succinylated gelatine, Sodium 151, Potassium 4, Magnesium 1, Chloride 103",Hartmann's solution is known as a more 'physiological' crystalloid solution than sodium chloride. It contains lactate so should be used cautiously in those with liver failure or lactic acidosis. ,"Sodium 131, Potassium 5, Ca 2, Cl 111, Lactate 29",TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Labour Analgesia 1,A 26 year old pregnant lady  has gone into labour. She was diagnosed with pre-eclampsia and has a platelet count of 35. She has asked for analgesia and you have prescribed a remifentanil PCA. What is the most important side effect of Remifentanil PCA to be aware of?,,Chest Wall Rigidity,Apnoea,Hypotension,Bradycardia,Hyperalgesia,Apnoea is the most significant side-effect of remifentanil PCA and although it may last less than a minute can leader to hypoxia. It is important that a midwife remains in the room at all times and that the birth partner and midwife are able to remind the patient to breathe. The other side effects are important but not as important as apnoea. If the patient experiences significant hypoxia then alternate analgesia should be considered.,Apnoea,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Liver 1,Which of the following is in the child Pugh score?,,Creatinine,ALT,Sodium,APTTR,Ascites,"The Child-Pugh score is used as a prognostic indicator for liver disease but MELD and MELD-Na have better prognostic value. The Child-Pugh score contain: Ascites, Albumin, INR, Bilirubin, Encephalopathy",Ascites,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Measurement 1,A 35 year old patient arrives in A&E after a housefire with significant smoke inhalation. He is a smoker of 30 cigarettes a day. He complains of shortness of breath but his oxygen saturations read 95%. An arterial gas shows a carboxyhaemoglobin level of 23% and arterial saturations of 78%. What is the explanation for the difference between the pulse oximeter and the arterial gas?,https://i.imgur.com/7vE0Bez.png,Measurement error - Carboxyhaemoglobin causes the pulse oximeter to falsely read high,Sample error - the sample must be venous,Machine error - the gas analysis machine is broken,User error - the wrong sample has been read,Random error - there is no explanation for the error.,"The Oxygen Saturations Probe uses pulses of light of 660 and 940nm wavelength passes through the finger or ear. Oxygenated haemoglobin absorbs more at 940 and deoxygenated Hb absorbs more at 660nm. The probe measures the difference in the amount of light that passes through and calculates the saturations. CarboxyHb causes an overestimate of Hb, and MetHb reads about 85% regardless of oxygen concentration. If either condition is suspected then patients should be given supplemental oxygen. The sats probe is less accurate below 75%.",Measurement error - Carboxyhaemoglobin causes the pulse oximeter to falsely read high,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Measurement 2,There are many ways to measure the oxygen concentration of fluids in theatre. Which of the following is most correct regarding oxygen measurement?,,Oxygen concentration is measured using a co-oximeter,A paramagnetic analyser has a slower response time than the Clark polarographic  electrode,A Clark electrode does not need a voltage across it because it acts as a battery,Fuel cells need an external electrical current supply,A polarographic electrode is used in normal blood gas analysers,"The polarographic Clark electrode is used in a blood gas analyser - it has a platinum cathode and silver anode,  requires a polarising voltage and takes about 50 seconds for a result. The paramagnetic analyser is used in theatre for breath by breath analysis of small changes in oxygen concentration. It works by attraction of oxygen to a magnetic field. Fuel cells do not need an external electrical supply but has a finite lifespan.",A polarographic electrode is used in normal blood gas analysers,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Measurement 3,Which of the following is directly measured in a blood gas analyser?,,pH,Tension of Oxygen,Partial pressure of carbon dioxide,Bicarbonate concentration,Oxygen Saturation,The tension of oxygen is measured using the polarographic Clark electrode. The saturations and pH are derived. The tension of carbon dioxide is measured using the glass electrode but the partial pressures are derived from measuring atmospheric pressure as well.,Tension of Oxygen,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Measurement 4,Which is most correct regarding the polarographic Clark electrode in a blood gas analyser:,,The anode is lead,Current flow is independent of oxygen tension at the cathode,Potassium hydroxide is the usual electrolyte in the electrode,It is a type of fuel cell,The cathode is platinum,"The polarographic Clark electrode is used in a blood gas analyser - it has a platinum cathode and silver anode,  requires a polarising voltage and takes about 50 seconds for a result. The current flow is proportional to the oxygen tension at the cathode and it is not a type of fuel cell. The solution is usually potassium chloride.",The cathode is platinum,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Measurement 5,Which of the following is most correct regarding temperature measurement?,,A bourdon gauge is expensive and difficult to read,Alcohol thermometers are not used due to the fire risk,A bimetallic strip produces a voltage with changes in temperature,The bourdon  gauge can be used to measure pressure or temperature,Infrared thermometers are not used clinically due to being invasive,"There are many ways of measuring temperature in theatre. The bourdon gauge is a coiled tube with varying diameter that expands and contracts depending on the pressure if left open, and the temperature if closed. Bourdon gauges are commonly seen on gas cylinders showing the gauge pressure because they are cheap and easy to read. Bimetallic strips bend with changes in temperature. Infrared thermometers are regularly used in hospital because they are minimal contact and non-invasive ways of measuring temperature. Alcohol thermometers are not used because of the risk of shattering glass.",The bourdon  gauge can be used to measure pressure or temperature,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Metabolism 1,Which of the following drugs is metabolised to a new compound that acts in a similar way to the parent drug?,,Diamorphine,Propofol,Atracurium,Midazolam,Bupivacaine,"Midazolam has active metabolites, as do most benzodiazepines in clinical use. Diamorphine is a prodrug that is metabolised into morphine. Atracurium, propofol and bupivacaine has inactive metabolites",Midazolam,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Metabolism 2,Hoffman Degradation is an elimination progress affected by the physiological conditions of the body. In which of the following situations would Hoffman Degradation be most active?,,Liver failure,"Temperature 35.5, pH 7.50","Hypercalcaemia, Hyperkalaemia","Temperature 38.0, pH  7.25","Temperature 37, pH 7.45",Hoffman degradation is a spontaneous method of metabolism that is conditional on the pH and Temperature of the body. The rate of Hoffman degradation is increased in acidaemia and hyperthermia. ,"Temperature 38.0, pH  7.25",TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Metabolism 3,A 56 year old female has been admitted to the intensive care unit with shortness of breath and hypoxia after being diagnosed with COVID-19. What is the primary metabolic pathway of atracurium?,,Ester hydrolysis,CYP enzyme metabolism,Hoffman Degradation,Renally excreted unchanged,ACE,Atracurium is primarily metabolised by Hoffman degradation which is a spontaneous method of metabolism that is conditional on the pH and Temperature of the body. The rate of Hoffman degradation is increased in acidaemia and hyperthermia. The isotope of cisatracurium is almost entirely metabolised by Hoffman degradation. ,Hoffman Degradation,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Metabolism 4,A 56 year old female has been admitted to the intensive care unit with shortness of breath and hypoxia after being diagnosed with COVID-19. What is the primary metabolic pathway of Suxamethonium?,,CYP enzyme metabolism,Acetylcholinesterase,Hoffman Degradation,Plasma cholinesterases,Renally excreted unchanged,Suxamethonium is rapidly metabolised by plasma cholinesterases ,Plasma cholinesterases,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,MG 1,A 68 year old male has been booked for a transsternal thymectomy. He has been diagnosed with Myasthenia Gravis and is taking Pyridostigmine 250mg/day. Which of the following is the strongest predictor of post-operative myasthenic crisis and need for ventilation?,,Pyridostigmine 250 - 500mg / day,Recent MG diagnosis,Vital Capacity < 2.9 L,Lack of bulbar symptoms,Hypertension,"The risk factors associated with myasthenic crisis and post-op ventilation are: Vital Capacity <2.9, Duration of MG > 6 years, Pyridostigmine > 750mg /day, COPD, Preop bulbar symptoms, Previous myasthenic crisis, Intraop blood loss >1000 ml, high antibody levels and reduced response to nerve stimulation.",Vital Capacity < 2.9 L,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,MG 2,A 68 year old male has been booked for a transsternal thymectomy. He has been diagnosed with Myasthenia Gravis and is taking Pyridostigmine 250mg/day. Which of the following is the most important principle for management of anaesthesia for this patient?,,Use long-acting opioids to minimise post-operative pain scores,Suxamethonium is the neuromuscular blocker of choice,"Avoid NMBAs where possible, and use sugammadex rather than neostigmine whenever possible","Avoid NMBAs where possible, and use neostigmine  rather than sugammadex whenever possible",Regional anaesthesia should be avoided. ,Myasthenia Gravis is a disease of the neuromuscular junction so has important implications for the anaesthetist. Neuromuscular blocking agents (NMBAs) should be avoided if possible. Patient requiring intubation could benefit from a remifentanil infusion rather than a NMBA. Patients with MG are much less sensitive to Suxamethonium so 2.6 x the normal dose is required. Anticholinesterase medication like Pyridostigmine will prolong the action of Suxamethonium and mivacurium. Patients with MG are extremely sensitive to non-depolarising NMBAs. Neostigmine may provoke a myasthenic crisis so Sugammadex should be used if reversal is required. Careful anaesthetic planning is necessary.,"Avoid NMBAs where possible, and use sugammadex rather than neostigmine whenever possible",TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,MG 3,A 68 year old male has been booked for a transsternal thymectomy. He has been diagnosed with Myasthenia Gravis and is taking Pyridostigmine 250mg/day. Which of the following is most correct regarding neuromuscular blockers and myasthenia gravis?,,Patients with MG are extremely sensitive to depolarising neuromuscular blockers,Pyridostigmine therapy will shorten the duration of paralysis due to Mivacurium,Patients with MG are extremely sensitive to non-depolarising neuromuscular blockers,Neostigmine is recommended as reversal of non-depolarising NMBAs,Sugammadex may precipitate a myasthenic crisis,Myasthenia Gravis is a disease of the neuromuscular junction so has important implications for the anaesthetist. Neuromuscular blocking agents (NMBAs) should be avoided if possible. Patient requiring intubation could benefit from a remifentanil infusion rather than a NMBA. Patients with MG are much less sensitive to Suxamethonium so 2.6 x the normal dose is required. Anticholinesterase medication like Pyridostigmine will prolong the action of Suxamethonium and mivacurium. Patients with MG are extremely sensitive to non-depolarising NMBAs. Neostigmine may provoke a myasthenic crisis so Sugammadex should be used if reversal is required. Careful anaesthetic planning is necessary.,Patients with MG are extremely sensitive to non-depolarising neuromuscular blockers,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,MH 1,A 35 year old is about to undergo anaesthesia for an emergency laparoscopic appendicectomy on CEPOD. The patient has a know history of Malignant Hyperthermia. What precaution should be taken before anaesthetising this patient?,,"Remove vaporiser, change circuit and flush with 100% O2 for 10 minutes",Cancel the case. Patients with Malignant Hyperthermia should not be anaesthetised on CEPOD,Clean circuit and flush with 100% O2 for 90 minutes,Avoid Non-depolarising muscle relaxants as a potential trigger of malignant hyperthermia,Ensure propofol is avoided as a potential trigger of malignant hyperthermia,"The essential actions are: remove vaporiser from the machine, change the circuit and then flush for 10 minutes with 100% O2. The triggers for Malignant Hyperthermia are Suxamethonium and all volatile anaesthetic agents. Anaesthetic maintenance should be with TIVA. Propofol and non-depolarising neuromuscular blockers (rocuronium, atracurium) are suitable for this patient.","Remove vaporiser, change circuit and flush with 100% O2 for 10 minutes",TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,MH 2,Regarding Malignant Hyperthermia:,https://i.imgur.com/mz1xEmX.jpg,Masseter spasm can be treated with muscle relaxant ,MH susceptible patients should be administered prophylactic dantrolene prior to anaesthesia,Pregnant patients susceptible to MH must be advised that they can not have Epidural Anaesthesia while in labour. ,Pregnant patients susceptible to MH must be advised that they can not have Nitrous Oxide while in labour. ,The fatality of MH is 5% with treatment and 75% without treatment,"The fatality of MH was 75% prior to the discovery of dantrolene as a successful treatment. One of the first signs is masseter spasm that does not respond to muscle relaxant. Local anaesthetics and Nitrous Oxide are not triggers for MH so are both safe in labour. Prophylactic dantrolene is no longer recommended due to significant side effects: nausea, vomiting, muscle weakness, prolonged paralysis).",The fatality of MH is 5% with treatment and 75% without treatment,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,MH 3,"A 25 year old male with malignant hyperthermia weighs 100kg and has undergone a tonsillectomy. He has been given Sugammadex 200mg at the end of the operation 1 hour ago but is now bleeding, vomiting blood and requires re-intubation. What is the most appropriate choice of muscle relaxant for intubation?",,Remifentanil infusion ,Rocuronium 1 to 1.5 mg/kg,Suxamethonium 1mg/kg,Gas Induction,Atracurium 0.6 mg/kg,"This patient requires an RSI and Rocuronium is the safest choice. It is possible to use Rocuronium after sugammadex use but the dose might need to be increased in order to achieve muscle relaxation quick enough. 1 to 1.5 mg/kg one hour after sugammadex is adequate for an RSI. Atracurium is not suitable for an RSI, Suxamethonium and a gas induction might trigger MH crisis and a Remifentanil infusion is not appropriate for an RSI alone",Rocuronium 1 to 1.5 mg/kg,TRUE,FALSE,FALSE
