Subject,Topic,QuestionType,MainStem,QuestionText,OptionsSeparatedByForwardSlash,CorrectOption,Explanation,ImagePath,References
Anatomy,Neck,Checklist,"The neck connects the head to the torso and contains important nerves, blood vessels and organs that are relevant to anaesthetic practice. ",What are the implications of blocking the sympathetic chain at this level?,Blindness/Ptosis/Mydriasis/Meiosis/Anhydrosis/Diaphragmatic paralysis/Bradycardia/Tachycardia/Low GCS,Ptosis/Meiosis/Anhydrosis,"Cervical sympathetic chain block leads to Horner's syndrome which consists of ptosis, meiosis and anhidrosis. ",AnatomyNeck.jpg,
Anatomy,Neck,InputText,"The neck connects the head to the torso and contains important nerves, blood vessels and organs that are relevant to anaesthetic practice. ",What are the contents of the carotid sheath?,Carotid Artery/Internal Jugular Vein/Vagus nerve/Recurrent laryngeal nerve/Deep lymph nodes.,Carotid Artery/Internal Jugular Vein/Vagus nerve/Recurrent laryngeal nerve/Deep lymph nodes.,"Common and internal Carotid Artery, Internal Jugular Vein, vagus nerve, recurrent laryngeal nerve, deep lymph nodes.",,
Anatomy,Neck,SBA,"The neck connects the head to the torso and contains important nerves, blood vessels and organs that are relevant to anaesthetic practice. ",Which vein does the internal jugular vein join to in the thorax?,Axillary/Subclavian/Inferior Vena Cava/Superior Vena Cava/Branchial,Subclavian,The internal jugular vein joins to the subclavian vein. ,,
Anatomy,Larynx,LabellingInput,The anatomy of the larynx is a core topic in anaesthesia and is relevant to airway management.,What are the labelled parts of the diagram?,A)/B)/C)/D)/E)/F),Hyoid/Epiglottis/Thyroid Cartilage/Laryngeal Prominence/Cricoid/Trachea,A - Hyoid. C - Thyroid cartilage. E - Cricoid cartilage. The cricoid is a complete ring whereas the thyroid cartilage is irregular in shape and not a complete ring.  When pressure is applied to the cricoid cartilage during Sellick manoeuvre the oesophagus is compressed which should prevent regurgitation in theory. ,AnatomyLarynx1.jpg,"“Anatomy of the larynx, trachea and bronchi” E Burdett"
Anatomy,Larynx,LabellingInput,The anatomy of the larynx is a core topic in anaesthesia and is relevant to airway management.,What is the blood supply to the Larynx? What is the motor and sensory supply to the larynx?,Arterial Supply:/Motor: Cricothyroid:/Motor: Intrinsic Muscles:/ Sensory: above cords:/Sensory: below cords: ,Sup and Inf Thyroid/Superior Lar,The larynx is supplied by the superior and inferior laryngeal arteries which are branches of the superior and inferior thyroid arteries. The larynx is supplied by branches of the Vagus Nerve (X): the superior laryngeal nerve supplies sensation above the glottis and to the cricothyroid muscle which tenses the cords. The Recurrent Laryngeal nerve supplies sensation below the glottis and all intrinsic muscles of the larynx (except the cricothyroid).,https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/086caad4b9ca4e6dac8e1e69907d0d09,"“Anatomy of the larynx, trachea and bronchi” E Burdett"
Anatomy,Larynx,LabellingInput,The anatomy of the larynx is a core topic in anaesthesia and is relevant to airway management.,What are the labelled parts of the diagram?,A)/B)/C)/D)/E)/F)/G),Vocal fold/Trachea/Aryepiglottic fold/Oesophagus/False cords/Epiglottis/Vallecula,,AnatomyLarynx2.jpg,"“Anatomy of the larynx, trachea and bronchi” E Burdett"
Anatomy,Larynx,SBA,The anatomy of the larynx is a core topic in anaesthesia and is relevant to airway management.,What nerve supplies sensation ABOVE the vocal cords?,Internal Laryngeal Nerve/External Laryngeal Nerve/Recurrent Laryngeal Nerve/Superior Laryngeal Nerve/Inferior Laryngeal Nerve,Internal Laryngeal Nerve,"The Internal Laryngeal Nerve supplies sensation above the vocal cords. It is a branch of the superior laryngeal nerve, which is itself a branch of the vagus.",AnatomyLarynx2.jpg,
Anatomy,Larynx,SBA,The anatomy of the larynx is a core topic in anaesthesia and is relevant to airway management.,What nerve supplies sensation BELOW the vocal cords?,Internal Laryngeal Nerve/External Laryngeal Nerve/Recurrent Laryngeal Nerve/Superior Laryngeal Nerve/Inferior Laryngeal Nerve,Recurrent Laryngeal Nerve,The Recurrent Laryngeal Nerve supplies sensation below the vocal cords. It is a branch of the vagus nerve.,AnatomyLarynx2.jpg,
Anatomy,Larynx,Checklist,The anatomy of the larynx is a core topic in anaesthesia and is relevant to airway management.,What best describes the course of the recurrent laryngeal nerve?,The right RLN loops around the Aorta/The left RLN loops around the Aorta/The right RLN loops around the Subclavian artery/The left RLN loops around the Subclavian artery,The left RLN loops around the Aorta/The right RLN loops around the Subclavian artery,The Recurrent Laryngeal Nerve supplies sensation below the vocal cords. It is a branch of the vagus nerve. It is named recurrent because it descends into the thorax before returning to the larynx. The left RLN loops around the aorta while the left RLN loops around the Subclavian Artery. The nerves have different lengths so the brain emits signals in a staggered manner to coordinate symmetrical movement of the vocal cords. ,AnatomyLarynx2.jpg,
Anatomy,SpinalCord,LabellingInput,The spinal cord carries sensory and motor information between the central nervous system and the rest of the body.,What are the anatomical parts labelled A - E?,A)/B)/C)/D)/E),Lateral Corticospinal tract/Vestibulospinal tract/Dorsal columns/Spinocerebellar tract/Lateral Spinothalamic,A - Lateral Corticospinal tract. B - Vestibulospinal tract. C - Dorsal Columns. D - Spinocerebellar tract. E - Lateral spinothalamic tract.,AnatomySpinalCord1.jpg,
Anatomy,SpinalCord,InputText,The spinal cord carries sensory and motor information between the central nervous system and the rest of the body.,What is the blood supply of the spinal cord?,Anterior spinal a./R posterior spinal a./L posterior spinal a./Radicular arteries/Artery of Adamkiewicz,Anterior spinal a./R posterior spinal a./L posterior spinal a./Radicular arteries/Artery of Adamkiewicz,There are 3 arteries that run along the whole spinal cord and multiple adjoining ones. The anterior spinal artery and the right and left posterior spinal arteries run cranio-caudally in the subarachnoid space. Radicular arteries from the aorta supply the spinal cord at each level and the largest of these is usually around L1-2 and is known as the Artery of Adamkiewicz,AnatomySpinalCord1.jpg,
Anatomy,SpinalCord,SBA,The spinal cord carries sensory and motor information between the central nervous system and the rest of the body.,What volume of Levobupivacaine 0.1% is required to block each segment of spinal cord when administered via epidural?,0.1 - 0.2 mL/1 - 2 mL/3 - 5 mL/5 - 10mL,1 - 2mL,1 - 2mL of local anaesthetic per segment.,AnatomySpinalCord2.jpg,
Anatomy,SpinalCord,ShowAnswer,The spinal cord carries sensory and motor information between the central nervous system and the rest of the body.,What is anterior cord syndrome?,"Anterior cord syndrome is  caused by acute flexion or anterior vascular injury. The signs are motor, pain and temperature loss but preservation of proprioception and vibration. ","Anterior cord syndrome is  caused by acute flexion or anterior vascular injury. The signs are motor, pain and temperature loss but preservation of proprioception and vibration. ","Anterior cord syndrome is  caused by acute flexion or anterior vascular injury. The signs are motor, pain and temperature loss but preservation of proprioception and vibration. ",AnatomySpinalCord1.jpg,
Anatomy,SpinalCord,SBA,The spinal cord carries sensory and motor information between the central nervous system and the rest of the body.,What level is the vertebra shown in the image?,C1/C6/T6/L2/S1,T6,"The thoracic vertebrae are characterised by small pedicles, long spinous processes, and relatively large intervertebral foramen (neural passageways), which result in less incidence of nerve compression.",AnatomySpinalCord2.jpg,
Anatomy,SpinalCord,LabellingInput,The spinal cord carries sensory and motor information between the central nervous system and the rest of the body.,What are the anatomical parts labelled A - F?,A)/B)/C)/D)/E/F),Vertebral body/Superior facet/Foramen/Transverse process/Spinous process/Lamina,The thoracic spine's range of motion is limited due to the many rib/vertebrae connections and the long spinous processes.,AnatomySpinalCord2.jpg,
Anatomy,VagusNerve,ShowAnswer,"The Vagus nerve is the 10th cranial nerve providing sensory, autonomic and motor innervation to the upper and lower respiratory tracts and the heart.",What is the course of the Vagus Nerve?,ShowAnswer,ShowAnswer,The vagus nerve begins in the medulla and emergences from the posterior fossa through the jugular foramen. It travels in the carotid sheath alongside the internal jugular vein. It passes anterior to the subclavian artery and enters the thorax. IN the thorax the vagus nerve passes caudally alongside the oesophagus posterior to the trachea. The left vagus then moves anteriorly while the right vagus moves posteriorly and they cross the diaphragm at T10 with the oesophagus. There are many branches that leave the vagus nerve and multiple plexii.,VagusNerve.jpg,
Anatomy,VagusNerve,LabellingInput,"The Vagus nerve is the 10th cranial nerve providing sensory, autonomic and motor innervation to the upper and lower respiratory tracts and the heart.",What are the labels A - E?,A)/B)/C)/D)/E),Pharyngeal/Superior Laryng./External Laryng./Recurrent Laryng./Cardiac Branch,,VagusNerve.jpg,
Anatomy,VagusNerve,InputText,"The Vagus nerve is the 10th cranial nerve providing sensory, autonomic and motor innervation to the upper and lower respiratory tracts and the heart.",What vagus nerve  branches and plexii does the vagus contribute to in the thorax?,Recurrent Lar./Thoracic cardiac/Pulmonary plexus/Oesophageal plexus/Anterior vagal/Posterior vagal,Recurrent Lar./Thoracic cardiac/Pulmonary plexus/Oesophageal plexus/Anterior vagal/Posterior vagal,"The nerves and plexuses in the thorax are: thoracic cardiac branches, pulmonary plexus, oesophageal plexus, anterior vagal trunk, posterior vagal trunk.",VagusNerve.jpg,
Anatomy,VagusNerve,InputText,"The Vagus nerve is the 10th cranial nerve providing sensory, autonomic and motor innervation to the upper and lower respiratory tracts and the heart.",Under what physiological circumstances might vagal tone lead to bradycardia?,Athletes/Carotid Sinus pressure/vomiting/coughing/bowel motion/diving reflex/deep sleep,Athletes/Carotid Sinus pressure/vomiting/coughing/bowel motion/diving reflex/deep sleep,"Sinus bradycardia of <50 bpm might be caused by high-endurance athletic training, carotid sinus pressure, vomiting, coughing, bowel motion, diving reflex, deep sleep and hypothermia.",VagusNerve.jpg,
Anatomy,VagusNerve,Checklist,"The Vagus nerve is the 10th cranial nerve providing sensory, autonomic and motor innervation to the upper and lower respiratory tracts and the heart.",Which parts of the GI tract are innervated by the Vagus nerve?,Oesophagus/Stomach/Duodenum/Jejunum/Ileum/Ascending colon/Transverse colon/Descending colon/Sigmoid colon/Rectum/Anus,Oesophagus/Stomach/Duodenum/Jejunum/Ileum/Ascending colon/Transverse colon,The vagus nerve supplies the GI tract including the large bowel up to the splenic flexure.,,
Anatomy,VagusNerve,ShowAnswer,"The Vagus nerve is the 10th cranial nerve providing sensory, autonomic and motor innervation to the upper and lower respiratory tracts and the heart.",How would you treat physiological bradycardia?,ShowAnswer,ShowAnswer,"Asymptomatic sinus bradycardia does not require treatment. Symptomatic bradycardia should be investigated and can be treated with anti-cholinergic medication like glycopyrrolate, Cyclizine or atropine. Isoprenaline and adrenaline can be used in prolonged circumstances.",VagusNerve.jpg,
Anatomy,FoetalCirculation,LabellingInput,Foetal circulation includes adaptations to allow oxygenation of haemoglobin in the placenta rather than the lungs. ,What are the foetal anatomical parts labelled in the diagram?,A)/B)/C)/D),Ductus Arteriosus/Foramen Ovale/D Venosus/Umbilical arteries,A - Ductus Arteriosus. ~B - Foramen Ovale. ~C - Ductus Venosus. ~D - Umbilical arteries. ,AnatomyFoetalCirculation.jpg,
Anatomy,FoetalCirculation,SBA,Foetal circulation includes adaptations to allow oxygenation of haemoglobin in the placenta rather than the lungs. ,What does the ductus arteriosus become in the adult?,Ductus Arteriosus/Foramen Ovale/Ligamentum Arteriosum/Foramen Arteriosum/Branchial Artery,Ligamentum Arteriosum,Ligamentum Arteriosum is the adult remnant of the ductus arteriosus.,AnatomyFoetalCirculation.jpg,
Anatomy,FoetalCirculation,ShowAnswer,Foetal circulation includes adaptations to allow oxygenation of haemoglobin in the placenta rather than the lungs. ,What are the oxygen saturations at the points labelled in the diagram?,ShowAnswer,ShowAnswer,A - Ductus Arteriosus (50%).~ B - Foramen Ovale(60%).~ C - Ductus Venosus(80%).~ D - Umbilical arteries(50%).,AnatomyFoetalCirculation.jpg,
Anatomy,FoetalCirculation,SBA,Foetal circulation includes adaptations to allow oxygenation of haemoglobin in the placenta rather than the lungs. ,What is the function of the eustachian valve?,To facilitate closure of the ductus arteriosus/To direct deoxygenated blood to the right side of the heart/To facilitate closure of the foramen ovale/To direct higher oxygenated haemoglobin to the left ventricle,To direct higher oxygenated haemoglobin to the left ventricle,The function of the eustachian valve is to direct higher oxygenated haemoglobin to the left side of the circulation and to the brain. This diverts higher oxygenated blood to the most important organ.,AnatomyFoetalCirculation.jpg,
Anatomy,FoetalCirculation,SBA,Foetal circulation includes adaptations to allow oxygenation of haemoglobin in the placenta rather than the lungs. ,What percentage of the foetal right ventricular output enters the pulmonary circulation?,2%/12%/28%/42%/55%,12%,The high pulmonary vascular resistance means that most of the blood in the right ventricle is shunted over to the left side of the circulation via the ductus arterioles into the descending aorta. ,,
Anatomy,FoetalCirculation,SBA,Foetal circulation includes adaptations to allow oxygenation of haemoglobin in the placenta rather than the lungs. ,When does the functional closure of the Ductus Arteriosus after birth occur?,2 hours/12 hours/24 hours/48 hours/72 hours/96 hours,96 hours,"The ductus arteriosus closes in two stages. There is functional closure before 96 hours and anatomical closure after that. The shunt closes due to reduced blood flow and levels of prostaglandins from the placenta.~ A neonate presenting with shock within the first 96 hours of life may be suffering from closure of the duct with a duct-dependent cardiac lesion. Prostaglandins can be given to reopen the duct, while indomethacin can be given to close a duct.",,
Blocks & Skills,Cricoid Pressure,,,In what situations is cricoid pressure used? How would you advise a CT1 to perform cricoid pressure?,,,"Cricoid pressure is performed in most rapid sequence inductions in the UK in order to prevent aspiration of stomach contents in patients at risk of vomiting or regurgitating their stomach contents. Identify the midline of the thyroid cartilage which is the most prominent anatomical part of the neck. Then use your index finger to slide inferiorly feeling the cricothyroid membrane then the cricoid cartilage. Then apply your thumb and middle finger to the cricoid. Apply 10N of pressure while the patient is awake, then increase the pressure to 30N when verbal contact with the patient is lost. Cricoid pressure should be maintained until after intubation the cuff of the tube is inflated or the intubator asks you to release.",,
Blocks & Skills,Cricoid Pressure,,,How much pressure should be applied when the patient is awake? How much pressure should be applied when the patient is asleep? How do you describe the appropriate pressure?,,,"10N while the patient is awake, increased to 30N when verbal contact is lost. 30N of pressure is the weight of 3 kg.",,
Blocks & Skills,Cricoid Pressure,,,When should cricoid pressure be released? What problems associated with cricoid pressure? When  should cricoid pressure be released even though the patient is not intubated?,,,"When asked to by the anaesthetists, when actively vomiting, hindering ventilation, when performing front of neck emergency airway access or inserting an LMA.  There are many problems associated with cricoid pressure: it's ineffective",,
Blocks & Skills,Cricoid Pressure,,,,,,,,
Blocks & Skills,Spinal,Checklist,You are planning on performing a spinal anaesthetic on a patient undergoing a TURP. ,Which of the following spinal needles would be suitable for performing the spinal anaesthetic?,,,"Whitacre or Sprotte 25 to 27G is standard practice in the UK, with the block extending to T10 bilaterally. Contraindications to spinal anaesthesia: Sepsis, Infection at the injection site, Thrombocytopaenia, recent anticoagulant use, clotting disorder leading to risk of haematoma, raised intracranial pressure, patient refusal.",,
Blocks & Skills,Spinal,,You are planning on performing a spinal anaesthetic on a patient undergoing a TURP. , What dermatome level would you aim to block for this procedure?,,,,,
Blocks & Skills,Spinal,,You are planning on performing a spinal anaesthetic on a patient undergoing a TURP. ,What are 3 contraindications to performing spinal anaesthesia?,,,,,
Blocks & Skills,Spinal,,You are planning on performing a spinal anaesthetic on a patient undergoing a TURP. ,Where would you insert your needle? What layers would your needle pass through? ,,,"Midline at the level of L3/4. I would palpate the superior aspect of the iliac crest and follow to the midline, this line is known as Touffiers line and usually indicates the level of L4/5. My needle would pass through: skin, fat, supraspinous ligament, interspinous ligament, ligamentum flavum, epidural space, dura mater, arachnoid mater.",,
Blocks & Skills,Spinal,,You are planning on performing a spinal anaesthetic on a patient undergoing a TURP. ,What are the side effects of spinal anaesthesia to T10?,,,"Spinal anaesthesia can cause immediate or delayed side-effects due to the effect of anaesthetic medication or due to trauma from the needle: bruising, bleeding, hypotension, paraesthesia, nerve damage, headache, total spinal, urinary retention .",,
Blocks & Skills,Spinal,,You are planning on performing a spinal anaesthetic on a patient undergoing a TURP. ,,,,,,
Blocks & Skills,CVC,LabellingInput,You have been asked to insert a central venous catheter in a 36 year old unvaccinated patient with COVID-19.,"Please identify the anatomical parts labelled A, B and C.",A)/B)/C),Int. Carotid Artery/Int. Jugular Vein/Sternocleidomastoid muscle,A - internal carotid artery. B - Internal Jugular Vein. C - Sternocleidomastoid muscle.,AnatomyCVC.jpg,
Blocks & Skills,CVC,SBA,You have been asked to insert a central venous catheter in a 36 year old unvaccinated patient with COVID-19.,What depth from the skin is the Internal Jugular Vein on this image?,1.5 inches/3 inches/1.5 cm/3 cm/Unknown,1.5 cm,"Each blue dot on the ultrasound screen usually represents 1cm of depth on the screen, although on much deeper images this scale may change. As the Internal jugular vein is usually less than 3cm from the skin, it is safe to assume the depth is 1.5cm.",AnatomyCVC.jpg,
Blocks & Skills,CVC,ShowAnswer,You have been asked to insert a central venous catheter in a 36 year old unvaccinated patient with COVID-19.,Why would this patient be positioned in the head down position? ,ShowAnswer,ShowAnswer,Head down position is used to increase volume and pressure of blood in the internal jugular vein to make it easier to see and cannulate for central line insertion. ,,
Blocks & Skills,CVC,ShowAnswer,You have been asked to insert a central venous catheter in a 36 year old unvaccinated patient with COVID-19.,What are the indications for CVC insertion?,ShowAnswer,ShowAnswer,Difficult venous access~Rapid transfusion~CVP monitoring~Infusion of Vasoactive drugs~Infusion of TPN~Haemodialysis~Aspiration of air embolus~Temporary pacing wires,,
Blocks & Skills,CVC,ShowAnswer,You have been asked to insert a central venous catheter in a 36 year old unvaccinated patient with COVID-19.,What are the potential complications of CVC insertion?,ShowAnswer,ShowAnswer,"Infection~Air embolism~Dysrhythmia~Haematoma~Pneumothorax~Tamponade~Nerve damage 
",,
Blocks & Skills,CVC,Checklist,You have been asked to insert a central venous catheter in a 36 year old unvaccinated patient with COVID-19.,What are the advantages of ultrasound guided technique vs landmark guided?,Decreased complications/Increased success/Decreased infections/Reduced haematoma/Decreased arterial puncture/Decreased time taken,Decreased complications/Increased success/Reduced haematoma/Decreased arterial puncture,"A Cochrane review in 2015 showed decreased failure rates, a decrease in the total number of attempts, increased rates of success at the first attempt, and a decrease in reported complications. Arterial puncture can be detected by looking for bright red blood pulsing out of the needle, and reviewing the guidewire on ultrasound. If the artery has not been dilated the needle and wire can be removed and the artery compressed. ",,
Blocks & Skills,CVC,ShowAnswer,You have been asked to insert a central venous catheter in a 36 year old unvaccinated patient with COVID-19.,What should be done in case of inadvertent carotid artery puncture where the artery has not been dilated?,ShowAnswer,ShowAnswer,"Arterial puncture can be detected by looking for bright red blood pulsing out of the needle, and reviewing the position of the guidewire on ultrasound. If the artery has not been dilated the needle and wire can be removed and the artery compressed. ",,
,,,,,,,,,
Blocks & Skills,Epidural ,,,You plan on inserting an epidural catheter for a labour analgesia.  How would you prepare and position a patient for epidural insertion? What would be your preferred insertion point for the epidural needle?,,,"Preparation includes taking a basic history to look for contraindications, obtain consent from the patient and arrange the required equipment in a sterile field. The epidural can be inserted in the sitting or lateral position with the patient curled in a kyphotic position. The site should be identified,  cleaned, draped and anaesthetised with lidocaine. The insertion site is the midline at the level L3/4 which can be found by feeling the top of the iliac crest and identifying Touffiers line which joins the two iliac crests.",,
Blocks & Skills,Epidural ,,,What layers will your needle pass through? What level does the spinal cord end? What level of block would you need in the 1st stage of labour?,,,"The layers are skin, fat, supraspinous ligament, interspinous ligament, ligamentum flavum, epidural space. The spinal cord usually ends in adults at L1. For the first stage of labour The dermatomes of T10 to T12 are affected.",,
,,,,,,,,,
,,,,,,,,,
Blocks & Skills,Laryngoscopy,,,You are planning on intubating a morbidly obese patient. What is the Cormack and Lehane grade view using this image? What would you do to improve your view? ,,,"The image shows the epiglottis but no cords so this is a grade 3 view. Improving a difficult view may involve applying cricoid pressure, manipulating existing cricoid pressure, improving patient positioning, using an oxford pillow, using a Mccoy blade to lift the epiglottis or using a video laryngoscopy.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/4998743a3b6d46e199f84f26a910e33f,
Blocks & Skills,Laryngoscopy,,,What are factors on examination that help you predict a difficult intubation? What are the components of the Wilson score?,,,"External features include: obesity, a beard, breasts. Recent anaesthetic airway management should be reviewed. Mouth opening, Mallampati score, thyromental distance, neck movement and Jaw protrusion. The components of the Wilson score are: weight, Neck mobility, buck teeth, jaw movement and retrognathia.",,
Blocks & Skills,Laryngoscopy,,,Please describe the anatomy of the larynx?,,,"The larynx is a series of cartilage and membranes located in the anterior part of the neck extending from the hyoid above to the trachea below. It can be split into the supraglottis, the glottis and the subglottis. The arterial supply is the superior and inferior laryngeal artery and the innervation is by branches of the vagus nerve. ",,
,,,,,,,,,
Blocks & Skills,ChestDrain,,,You have been asked to review a patient in the emergency department who is short of breath and hypoxic. What examination findings would suggest a diagnosis of tension pneumothorax? How would you treat a tension pneumothorax?,,,"The classic examination findings are hyperresonance to percussion, decreased breath sounds and a trachea deviated to the contralateral side. The basic observations might show hypoxia, tachycardia, tachypnoea and hypotension. Definitive treatment of a pneumothorax is insertion of a chest drain, although in an emergency a cannula can be inserted into the 2nd intercostal space in the mid-clavicular line.",,
Blocks & Skills,ChestDrain,,,Where would you insert a chest drain and what are the anatomical landmarks to help guide you to the insertion site? How do you insert the chest drain?,,,"A chest drain should be inserted into the safe triangle of the axilla. The anterior border is the lateral border of the pectoralis major. The posterior border is the latissimus dorsi. The inferior border is the 6th rib and the superior border is the axilla. The site should be cleaned, draped and anaesthetised with lidocaine. A needle and syringe should be inserted perpendicular to the skin just above the rib until air is aspirated. A guidewire should be fed superiorly into the pleural cavity and the needle removed. The skin should be incised, the track should be dilated and then the tube inserted.",,
Blocks & Skills,ChestDrain,,,How should the drain be connected to the patient and where should it be placed? What happens if the bottle is above the patient?,,,The drain should be connected to an underwater seal and the bottle next to the patient on the floor. The bottle should be kept below the level of the patient so that the water trap does not enter the tubing and the pleural space which may cause harm to the patient.,,
,,,,,,,,,
Blocks & Skills,AnkleBlock,,,You are anaesthetising a patient for a toe osteotomy and plan on doing an ankle block. What 5 nerves are blocked in an ankle block? How would you position the patient in order to perform an ankle block? All 5 nerves that supply the foot are branches of which nerve?,,,"Tibial, superficial peroneal, deep peroneal, sural and saphenous. The patient should be supine with  the leg supported off the bed or in lateral decubitus. The 5 nerves blocked by the ankle block are branches of the sciatic nerve. They ankle block can be performed using landmark technique or ultrasound guidance.",,
Blocks & Skills,AnkleBlock,,,How would you perform a tibial nerve block? What part of the foot is supplied by the sural nerve? ,,,"I would use ultrasound to identify the tibial nerve which lies just posterior to the posterior tibial artery and vein. I would clean and drape the area, use a trained assistant and inject 5 mL of local anaesthetic using an in plane technique approach from posterior to anterior in order to avoid the vasculature. The sural nerve supplies the posterolateral part of the foot. The tibial nerve takes the longest of the blocks to develop of all the 5 ankle nerves.",,
,,,,,,,,,
,,,,,,,,,
Blocks & Skills,InterscaleneBlock,,,What are the indications for an interscalene block? What nerves will be blocked by the interscalene block? What makes up the brachial plexus? What volume of anaesthetic is used for an interscalene block?,,,The indications for the interscalene block are: shoulder and upper arm surgery and may be used in combination with a cervical plexus block for clavicle surgery. The interscalene block targets the trunks of the brachial plexus which includes the nerve roots from C5 to C8 but does not include the ulnar nerve. The local anaesthetic volume would be 7.5 to 15mL.,,
Blocks & Skills,InterscaleneBlock,,,What structures can be damaged during interscalene block? What are the side effects of the interscalene block?,,,"The structures near to the brachial plexus that can be damaged include nerve damage to the brachial plexus, sympathetic chain, jugular vein, carotid artery and the interscalene muscles. Side-effects of the interscalene block are: local anaesthetic toxicity, haematoma, infection, total spinal anaesthesia, Horner syndrome and diaphragmatic paralysis. ",,
Blocks & Skills,InterscaleneBlock,,,"Which nerve is frequently missed in an interscalene block? What nerve roots supply the dermatomes of the arm shown in the picture and labelled A, B and C?",,,"The ulnar nerve(C8-T1) is commonly missed during interscalene block, but is commonly blocked using a supraclavicular block of the brachial plexus. The nerve roots that supply the areas labelled are A - C5, B - T1, C - C7.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/b72c841d96b84cc4a918f7f76bd0dec9,
,,,,,,,,,
Communication,Awareness,ShowAnswer,You must speak to a 55 year old lady awaiting Lap Cholecystectomy. She is concerned about awareness under anaesthesia because her daughter was aware during an emergency caesarean section.,How would you begin the conversation?,ShowAnswer,ShowAnswer,"Begin the conversation by introducing yourself, confirming the identity of the patient and the surgery that they are expecting. ~Outline the purpose of your conversation and take a brief anaesthetic history before addressing the patients main concerns.",,
Communication,Awareness,Checklist,You must speak to a 55 year old lady awaiting Lap Cholecystectomy. She is concerned about awareness under anaesthesia because her daughter was aware during an emergency caesarean section.,What are the components of a basic anaesthetic history?,Past Medical History/Drug History/Allergies/Previous Anaesthetics/Anaesthetic complications/Presenting Complaint/Social History/Functional Status/Fasting/Airway Assessment/Family History/Political beliefs,Past Medical History/Drug History/Allergies/Previous Anaesthetics/Anaesthetic complications/Presenting Complaint/Social History/Functional Status/Fasting/Airway Assessment/Family History,"The preoperative anaesthetic assessment is essential to build rapport with the patient, confirm that the operation is safe to proceed and establish the anaesthetic plan. Although there are a lot of sections to cover, one can get through the majority of these in under one minute. ",,
Communication,Awareness,InputText,You must speak to a 55 year old lady awaiting Lap Cholecystectomy. She is concerned about awareness under anaesthesia because her daughter was aware during an emergency caesarean section.,What more information would you want to obtain from the patient about the daughters experience of awareness under anaesthesia?,Implicit or Explicit/Cause of awareness/Severity,Implicit or Explicit/Cause of awareness/Severity,"Awareness under anaesthesia may cause significant distress to the patient and their relatives. Sympathy should be expressed and their concerns should be taken seriously. The details surrounding the event can help to establish the reason for awareness and help to minimise the risk in the future. Implicit awareness is the subconscious awareness of inadequate anaesthesia, whereas explicit awareness involves the recall of specific sounds, sights or feelings. ",AnaestheticHistory.jpg,
Communication,Awareness,Checklist,You must speak to a 55 year old lady awaiting Lap Cholecystectomy. She is concerned about awareness under anaesthesia because her daughter was aware during an emergency caesarean section., What factors increase the risk of awareness? What is the risk of awareness under anaesthesia for this case?,Obesity/Anaemia/Female sex/Male sex/Chronic drug use/Alcoholism/Emergencies/Trauma/Laparoscopy/Cardiac surgery/Obstetric/Neuromuscular blockers/TIVA/Nitrous Oxide/Lack of EEG,Obesity/Female sex/Chronic drug use/Alcoholism/Emergencies/Trauma/Cardiac surgery/Obstetric/Neuromuscular blockers/TIVA/Nitrous Oxide/Lack of EEG,"Patient factors: obesity, female, chronic drug or alcohol use. Surgical factors: emergency, trauma, cardiac surgery, obstetric. Anaesthetic: neuromuscular blockers, TIVA, lack of EEG, low MAC.",,
Communication,Awareness,ShowAnswer,You must speak to a 55 year old lady awaiting Lap Cholecystectomy. She is concerned about awareness under anaesthesia because her daughter was aware during an emergency caesarean section.,How would you adjust your anaesthetic practice to minimise the risk of awareness?,ShowAnswer,ShowAnswer,"The risk of awareness can be minimised by ensuring that the patient has been given an adequate  dose of anaesthetic agent at all times. The dose must be titrated to the patient. Measure that reduce awareness are: administer Benzodiazepines on induction, EEG monitoring, MAC >0.8, avoid neuromuscular blockers if possible.",,
Communication,Awareness,ShowAnswer,You must speak to a 55 year old lady awaiting Lap Cholecystectomy. She is concerned about awareness under anaesthesia because her daughter was aware during an emergency caesarean section.,What is the risk of awareness for this operation?,1 in 3 000/1 in 9000/1 in 19 000/1 in 100 000,1 in 9000,The risk of awareness for this case is around 1:9000 because a neuromuscular blocker is likely to be used. If no NMB is used then the risk is 1:19000.,,
Communication,PONV,Checklist,A 40 year old female non-smoker is booked for a diagnostic hysteroscopy. This patient alerts you to the fact that she suffers from motion sickness and had a previous episode of nausea and vomiting. ,How would you begin the conversation?,ShowAnswer,ShowAnswer,"Begin the conversation by introducing yourself, confirming the identity of the patient and the surgery that they are expecting. ~Outline the purpose of your conversation and take a brief anaesthetic history before addressing the patients main concerns. ",,
